public_date,AERO,AGRIC,AUTOS,BANKS,BEER,BLDMT,BOOKS,BOXES,BUSSV,CHEMS,CHIPS,CLTHS,CNSTR,COAL,DRUGS,ELCEQ,FABPR,FIN,FOOD,FUN,GOLD,GUNS,HARDW,HLTH,HSHLD,INSUR,LABEQ,MACH,MEALS,MEDEQ,MINES,OIL,OTHER,PAPER,PERSV,RLEST,RTAIL,RUBBR,SHIPS,SMOKE,SODA,SOFTW,STEEL,TELCM,TOYS,TRANS,TXTLS,UTIL,WHLSL
1976-11-30,0.056636,0.147347,0.099022,0.107890,0.051555,0.047708,0.113423,0.074252,0.105617,0.095629,0.052737,0.091227,0.087164,0.092410,0.065236,0.087681,0.066675,0.064540,0.043883,0.111964,0.049582,0.043442,0.001477,0.142588,0.028971,0.061345,0.045947,0.066324,0.032921,0.029866,0.034881,0.061096,0.116807,0.052340,0.109752,0.091895,0.015831,0.037319,0.113203,0.017436,0.014884,0.031170,0.091633,0.042112,0.125783,0.059968,0.048807,0.062761,0.091603
1976-12-31,-0.032116,-0.059357,-0.032436,-0.043800,-0.100919,-0.061807,-0.022035,-0.036817,-0.014371,-0.054410,-0.076775,0.024569,-0.018209,-0.032161,-0.101060,-0.012237,0.004933,-0.048836,-0.040501,-0.003065,0.001104,0.039876,-0.105187,0.019519,-0.075526,-0.067509,-0.075708,-0.046683,-0.103664,-0.060527,0.014964,-0.000838,0.088624,-0.095288,0.011184,0.016218,-0.075110,-0.058721,-0.010308,-0.068270,-0.042066,-0.024580,-0.031792,-0.009267,-0.017079,-0.043159,-0.005005,0.009501,-0.023988
1977-01-31,0.001172,0.050825,-0.034653,-0.021888,0.012013,-0.008043,-0.015388,0.005439,-0.012875,-0.005363,-0.041316,-0.034812,0.005812,-0.001676,-0.000420,0.014660,-0.014674,-0.034185,-0.016276,-0.039147,0.079061,-0.011534,-0.028699,-0.034740,-0.018515,-0.019792,0.037603,-0.010798,-0.029251,0.016317,-0.038780,-0.030306,0.011650,0.008040,-0.034478,-0.041370,-0.018133,-0.024255,0.048828,-0.019299,0.016108,0.002076,-0.031226,0.005680,-0.000443,-0.015139,-0.037946,-0.033555,-0.013466
1977-02-28,0.018371,-0.034218,-0.052627,-0.006192,-0.024959,-0.009704,-0.012821,0.033336,0.010516,-0.009588,0.023682,-0.010419,0.029012,0.072619,-0.014753,0.021360,0.021144,-0.003870,-0.012923,0.015006,0.006441,-0.009541,-0.054043,-0.000935,-0.015177,-0.010982,0.008005,0.028099,-0.061767,0.005187,0.028395,-0.018954,0.063194,-0.001436,-0.013727,0.008981,-0.027601,0.000810,0.067792,-0.034298,-0.000351,-0.005066,0.008492,-0.007579,-0.007394,0.000371,-0.009140,0.002640,0.006854
1977-03-31,0.030024,-0.000804,0.024752,0.000964,0.004502,0.024881,0.014464,0.021028,0.016556,-0.001079,-0.007281,0.011630,0.054528,0.008303,-0.051632,0.012760,0.002320,-0.033435,0.008536,-0.019017,-0.026087,0.065157,-0.062553,0.037598,-0.010260,0.051348,0.012038,0.038205,0.009726,-0.044192,-0.016364,0.027180,0.051005,-0.007725,0.023740,0.030454,-0.037941,0.051426,-0.018972,0.025550,-0.030604,-0.063358,0.027760,0.008695,-0.016979,0.040475,0.036086,0.019968,0.003396
1977-04-30,0.009735,0.037652,-0.007518,-0.018698,-0.014760,-0.041740,-0.000939,-0.010229,-0.015540,-0.031653,-0.003654,-0.011445,0.001165,-0.127880,-0.024546,0.004366,0.047326,-0.033897,0.003108,0.059337,-0.055915,0.004239,-0.030036,-0.020833,-0.029862,0.009949,0.009541,0.006267,0.021558,-0.036115,-0.055309,-0.005518,-0.016312,-0.038858,0.007728,0.017022,-0.041685,-0.020878,-0.035594,-0.002051,-0.019842,-0.037955,-0.055183,0.012672,0.003465,0.003952,-0.023281,0.016820,-0.009997
1977-05-31,0.070611,-0.001519,0.048573,0.049022,0.014049,0.040962,0.086574,0.017008,0.078156,0.004309,0.054582,0.050872,0.071453,0.048661,0.085479,0.038575,0.029695,0.055569,0.042901,0.073031,0.008847,0.090355,0.069757,0.110592,0.064622,0.076001,0.073627,0.024641,0.108294,0.089139,0.046391,0.058049,0.041327,0.025878,0.156667,0.046659,0.062273,0.048849,0.096258,0.041960,0.051370,0.078318,0.019440,0.025176,0.026605,0.028209,0.060583,0.058396,0.032282
1977-06-30,-0.026412,0.009538,-0.027667,0.013023,0.009606,-0.027940,-0.000715,-0.060134,-0.019766,-0.035409,0.006670,-0.014904,-0.009817,-0.080460,-0.020619,-0.038290,-0.016955,-0.036544,0.017616,-0.049810,-0.011127,-0.014320,-0.005777,0.022354,-0.008919,-0.001969,-0.023869,-0.057845,0.002946,-0.052041,-0.063431,-0.020122,-0.045663,-0.032079,-0.009863,0.014400,0.001928,-0.065787,-0.066861,0.026656,0.041641,0.021064,-0.089009,-0.006693,-0.007661,-0.033381,-0.016148,0.010492,-0.015265
1977-07-31,-0.045557,-0.029639,-0.014295,-0.009728,0.017951,-0.033430,-0.013243,-0.028496,-0.019006,-0.023284,-0.008107,-0.005671,-0.002185,-0.029660,0.036612,-0.014690,0.014199,0.012167,-0.007835,-0.015271,-0.061082,-0.061772,0.049862,0.001552,0.030534,-0.007063,-0.000278,-0.016669,0.059034,0.007571,-0.055950,-0.055335,-0.022427,-0.002665,0.037388,-0.017789,0.051143,-0.036269,-0.030710,0.051917,0.021410,0.015063,-0.016318,-0.022059,-0.048625,-0.045046,-0.010089,-0.030410,-0.029793
1977-08-31,-0.046529,-0.032772,0.037533,-0.007662,0.008424,0.000913,0.007622,0.024569,0.003863,-0.006304,-0.009758,0.005556,0.004550,0.027137,-0.019213,-0.010460,-0.005007,-0.038875,-0.005125,-0.024993,0.049600,-0.036587,-0.005908,0.098317,-0.001941,0.010174,-0.006989,0.011303,0.032983,0.003947,0.000917,0.003013,-0.014389,-0.020855,0.030882,-0.004809,-0.009270,-0.001614,0.027428,0.039517,0.014102,-0.025086,-0.047963,0.031118,-0.052381,-0.007895,-0.012761,0.019881,0.010360
