gvkey,datadate,rdq,permno,rdqplus1,abr,DATE
011976,20180831,20181011,10044,12OCT2018,0.0034441276,30NOV2018
011976,20180831,20181011,10044,12OCT2018,0.0034441276,31DEC2018
016456,20180930,20181108,10051,09NOV2018,-0.00226231,30NOV2018
016456,20180930,20181108,10051,09NOV2018,-0.00226231,31DEC2018
012142,20170228,20170315,10104,16MAR2017,0.0167956253,31MAR2017
012142,20170228,20170315,10104,16MAR2017,0.0167956253,28APR2017
012142,20170228,20170315,10104,16MAR2017,0.0167956253,31MAY2017
012142,20170531,20170621,10104,22JUN2017,0.0280915208,30JUN2017
012142,20170531,20170621,10104,22JUN2017,0.0280915208,31JUL2017
012142,20170531,20170621,10104,22JUN2017,0.0280915208,31AUG2017
012142,20170831,20170914,10104,15SEP2017,-0.018968299,29SEP2017
012142,20170831,20170914,10104,15SEP2017,-0.018968299,31OCT2017
012142,20170831,20170914,10104,15SEP2017,-0.018968299,30NOV2017
012142,20171130,20171214,10104,15DEC2017,-0.012292909,29DEC2017
012142,20171130,20171214,10104,15DEC2017,-0.012292909,31JAN2018
012142,20171130,20171214,10104,15DEC2017,-0.012292909,28FEB2018
012142,20180228,20180319,10104,20MAR2018,-0.022399126,29MAR2018
012142,20180228,20180319,10104,20MAR2018,-0.022399126,30APR2018
012142,20180228,20180319,10104,20MAR2018,-0.022399126,31MAY2018
012142,20180531,20180619,10104,20JUN2018,-0.015254307,29JUN2018
012142,20180531,20180619,10104,20JUN2018,-0.015254307,31JUL2018
012142,20180531,20180619,10104,20JUN2018,-0.015254307,31AUG2018
012142,20180831,20180917,10104,18SEP2018,-0.002901702,28SEP2018
012142,20180831,20180917,10104,18SEP2018,-0.002901702,31OCT2018
012142,20180831,20180917,10104,18SEP2018,-0.002901702,30NOV2018
012142,20181130,20181217,10104,18DEC2018,0.0021718218,31DEC2018
012141,20170331,20170427,10107,28APR2017,0.0023688159,31MAY2017
012141,20170331,20170427,10107,28APR2017,0.0023688159,30JUN2017
012141,20170630,20170720,10107,21JUL2017,0.0001474499,31JUL2017
012141,20170630,20170720,10107,21JUL2017,0.0001474499,31AUG2017
012141,20170630,20170720,10107,21JUL2017,0.0001474499,29SEP2017
012141,20170930,20171026,10107,27OCT2017,0.0142343275,31OCT2017
012141,20170930,20171026,10107,27OCT2017,0.0142343275,30NOV2017
012141,20170930,20171026,10107,27OCT2017,0.0142343275,29DEC2017
012141,20170930,20171026,10107,27OCT2017,0.0142343275,31JAN2018
012141,20171231,20180131,10107,01FEB2018,0.0050801811,28FEB2018
012141,20171231,20180131,10107,01FEB2018,0.0050801811,29MAR2018
012141,20180331,20180426,10107,27APR2018,0.0013960259,30APR2018
012141,20180331,20180426,10107,27APR2018,0.0013960259,31MAY2018
012141,20180331,20180426,10107,27APR2018,0.0013960259,29JUN2018
012141,20180630,20180719,10107,20JUL2018,0.002977288,31JUL2018
012141,20180630,20180719,10107,20JUL2018,0.002977288,31AUG2018
012141,20180630,20180719,10107,20JUL2018,0.002977288,28SEP2018
012141,20180930,20181024,10107,25OCT2018,0.0054991859,31OCT2018
012141,20180930,20181024,10107,25OCT2018,0.0054991859,30NOV2018
012141,20180930,20181024,10107,25OCT2018,0.0054991859,31DEC2018
012138,20170331,20170425,10138,26APR2017,-0.010607083,28APR2017
012138,20170331,20170425,10138,26APR2017,-0.010607083,31MAY2017
012138,20170331,20170425,10138,26APR2017,-0.010607083,30JUN2017
012138,20170630,20170725,10138,26JUL2017,0.0112868502,31JUL2017
012138,20170630,20170725,10138,26JUL2017,0.0112868502,31AUG2017
012138,20170630,20170725,10138,26JUL2017,0.0112868502,29SEP2017
012138,20170930,20171026,10138,27OCT2017,-0.00718727,31OCT2017
012138,20170930,20171026,10138,27OCT2017,-0.00718727,30NOV2017
012138,20170930,20171026,10138,27OCT2017,-0.00718727,29DEC2017
012138,20170930,20171026,10138,27OCT2017,-0.00718727,31JAN2018
012138,20171231,20180130,10138,31JAN2018,-0.010808628,28FEB2018
012138,20171231,20180130,10138,31JAN2018,-0.010808628,29MAR2018
012138,20180331,20180425,10138,26APR2018,0.0091812548,30APR2018
012138,20180331,20180425,10138,26APR2018,0.0091812548,31MAY2018
012138,20180331,20180425,10138,26APR2018,0.0091812548,29JUN2018
012138,20180630,20180725,10138,26JUL2018,0.0006360264,31JUL2018
012138,20180630,20180725,10138,26JUL2018,0.0006360264,31AUG2018
012138,20180630,20180725,10138,26JUL2018,0.0006360264,28SEP2018
012138,20180930,20181025,10138,26OCT2018,-0.005223377,31OCT2018
012138,20180930,20181025,10138,26OCT2018,-0.005223377,30NOV2018
012138,20180930,20181025,10138,26OCT2018,-0.005223377,31DEC2018
001300,20170331,20170421,10145,24APR2017,0.0100128995,28APR2017
001300,20170331,20170421,10145,24APR2017,0.0100128995,31MAY2017
001300,20170331,20170421,10145,24APR2017,0.0100128995,30JUN2017
001300,20170630,20170721,10145,24JUL2017,0.0037121077,31JUL2017
001300,20170630,20170721,10145,24JUL2017,0.0037121077,31AUG2017
001300,20170630,20170721,10145,24JUL2017,0.0037121077,29SEP2017
001300,20170930,20171020,10145,23OCT2017,0.003769286,31OCT2017
001300,20170930,20171020,10145,23OCT2017,0.003769286,30NOV2017
001300,20170930,20171020,10145,23OCT2017,0.003769286,29DEC2017
001300,20171231,20180126,10145,29JAN2018,0.0017620117,31JAN2018
001300,20171231,20180126,10145,29JAN2018,0.0017620117,28FEB2018
001300,20171231,20180126,10145,29JAN2018,0.0017620117,29MAR2018
001300,20180331,20180420,10145,23APR2018,0.0032751292,30APR2018
001300,20180331,20180420,10145,23APR2018,0.0032751292,31MAY2018
001300,20180331,20180420,10145,23APR2018,0.0032751292,29JUN2018
001300,20180630,20180720,10145,23JUL2018,0.0090408498,31JUL2018
001300,20180630,20180720,10145,23JUL2018,0.0090408498,31AUG2018
001300,20180630,20180720,10145,23JUL2018,0.0090408498,28SEP2018
001300,20180930,20181019,10145,22OCT2018,-0.006235166,31OCT2018
001300,20180930,20181019,10145,22OCT2018,-0.006235166,30NOV2018
001300,20180930,20181019,10145,22OCT2018,-0.006235166,31DEC2018
185128,20170331,20170502,10158,03MAY2017,0.0001703745,31MAY2017
185128,20170331,20170502,10158,03MAY2017,0.0001703745,30JUN2017
185128,20170331,20170502,10158,03MAY2017,0.0001703745,31JUL2017
185128,20170630,20170809,10158,10AUG2017,0.017713865,31AUG2017
185128,20170630,20170809,10158,10AUG2017,0.017713865,29SEP2017
185128,20170630,20170809,10158,10AUG2017,0.017713865,31OCT2017
185128,20170930,20171031,10158,01NOV2017,-0.003192511,30NOV2017
185128,20170930,20171031,10158,01NOV2017,-0.003192511,29DEC2017
185128,20170930,20171031,10158,01NOV2017,-0.003192511,31JAN2018
185128,20170930,20171031,10158,01NOV2017,-0.003192511,28FEB2018
185128,20171231,20180306,10158,07MAR2018,0.0492124234,29MAR2018
185128,20171231,20180306,10158,07MAR2018,0.0492124234,30APR2018
185128,20180331,20180501,10158,02MAY2018,-0.009831257,31MAY2018
185128,20180331,20180501,10158,02MAY2018,-0.009831257,29JUN2018
185128,20180331,20180501,10158,02MAY2018,-0.009831257,31JUL2018
185128,20180630,20180807,10158,08AUG2018,0.017590504,31AUG2018
185128,20180630,20180807,10158,08AUG2018,0.017590504,28SEP2018
185128,20180630,20180807,10158,08AUG2018,0.017590504,31OCT2018
185128,20180930,20181030,10158,31OCT2018,0.0688027597,30NOV2018
185128,20180930,20181030,10158,31OCT2018,0.0688027597,31DEC2018
014304,20170331,20170504,10180,05MAY2017,-0.002936541,31MAY2017
014304,20170331,20170504,10180,05MAY2017,-0.002936541,30JUN2017
014304,20170331,20170504,10180,05MAY2017,-0.002936541,31JUL2017
014304,20170630,20170731,10180,01AUG2017,-0.001190059,31AUG2017
014304,20170630,20170731,10180,01AUG2017,-0.001190059,29SEP2017
014304,20170630,20170731,10180,01AUG2017,-0.001190059,31OCT2017
014304,20170930,20171101,10180,02NOV2017,0.0057278783,30NOV2017
014304,20170930,20171101,10180,02NOV2017,0.0057278783,29DEC2017
014304,20170930,20171101,10180,02NOV2017,0.0057278783,31JAN2018
014304,20170930,20171101,10180,02NOV2017,0.0057278783,28FEB2018
014304,20171231,20180228,10180,01MAR2018,-0.097990034,29MAR2018
014304,20171231,20180228,10180,01MAR2018,-0.097990034,30APR2018
014304,20180331,20180502,10180,03MAY2018,-0.049353743,31MAY2018
014304,20180331,20180502,10180,03MAY2018,-0.049353743,29JUN2018
014304,20180331,20180502,10180,03MAY2018,-0.049353743,31JUL2018
014304,20180630,20180801,10180,02AUG2018,-0.000438562,31AUG2018
014304,20180630,20180801,10180,02AUG2018,-0.000438562,28SEP2018
014304,20180630,20180801,10180,02AUG2018,-0.000438562,31OCT2018
014304,20180930,20181106,10180,07NOV2018,-0.026304931,30NOV2018
014304,20180930,20181106,10180,07NOV2018,-0.026304931,31DEC2018
012171,20170131,20170308,10182,09MAR2017,0.0054457243,31MAR2017
012171,20170131,20170308,10182,09MAR2017,0.0054457243,28APR2017
012171,20170131,20170308,10182,09MAR2017,0.0054457243,31MAY2017
012171,20170430,20170601,10182,02JUN2017,0.018481218,30JUN2017
012171,20170430,20170601,10182,02JUN2017,0.018481218,31JUL2017
012171,20170430,20170601,10182,02JUN2017,0.018481218,31AUG2017
012171,20170731,20170831,10182,01SEP2017,-0.0470661,29SEP2017
012171,20170731,20170831,10182,01SEP2017,-0.0470661,31OCT2017
012171,20171031,20171127,10182,28NOV2017,0.0301942248,30NOV2017
012171,20171031,20171127,10182,28NOV2017,0.0301942248,29DEC2017
012171,20171031,20171127,10182,28NOV2017,0.0301942248,31JAN2018
012171,20171031,20171127,10182,28NOV2017,0.0301942248,28FEB2018
012171,20180131,20180308,10182,09MAR2018,-0.038878246,29MAR2018
012171,20180131,20180308,10182,09MAR2018,-0.038878246,30APR2018
012171,20180131,20180308,10182,09MAR2018,-0.038878246,31MAY2018
012171,20180430,20180531,10182,01JUN2018,0.0208568207,29JUN2018
012171,20180430,20180531,10182,01JUN2018,0.0208568207,31JUL2018
012171,20180430,20180531,10182,01JUN2018,0.0208568207,31AUG2018
012171,20180731,20180830,10182,31AUG2018,-0.046490496,28SEP2018
012171,20180731,20180830,10182,31AUG2018,-0.046490496,31OCT2018
012171,20180731,20180830,10182,31AUG2018,-0.046490496,30NOV2018
012171,20181031,20181129,10182,30NOV2018,0.0471670203,31DEC2018
012181,20170331,20170504,10200,05MAY2017,0.0021656742,31MAY2017
012181,20170331,20170504,10200,05MAY2017,0.0021656742,30JUN2017
012181,20170331,20170504,10200,05MAY2017,0.0021656742,31JUL2017
012181,20170630,20170803,10200,04AUG2017,0.0070955437,31AUG2017
012181,20170630,20170803,10200,04AUG2017,0.0070955437,29SEP2017
012181,20170630,20170803,10200,04AUG2017,0.0070955437,31OCT2017
012181,20170930,20171109,10200,10NOV2017,-0.023267907,30NOV2017
012181,20170930,20171109,10200,10NOV2017,-0.023267907,29DEC2017
012181,20170930,20171109,10200,10NOV2017,-0.023267907,31JAN2018
012181,20171231,20180222,10200,23FEB2018,0.0187592361,28FEB2018
012181,20171231,20180222,10200,23FEB2018,0.0187592361,29MAR2018
012181,20171231,20180222,10200,23FEB2018,0.0187592361,30APR2018
012181,20180331,20180508,10200,09MAY2018,0.0170979602,31MAY2018
012181,20180331,20180508,10200,09MAY2018,0.0170979602,29JUN2018
012181,20180331,20180508,10200,09MAY2018,0.0170979602,31JUL2018
012181,20180630,20180802,10200,03AUG2018,0.0008981277,31AUG2018
012181,20180630,20180802,10200,03AUG2018,0.0008981277,28SEP2018
012181,20180630,20180802,10200,03AUG2018,0.0008981277,31OCT2018
012181,20180930,20181101,10200,02NOV2018,0.0428173357,30NOV2018
012181,20180930,20181101,10200,02NOV2018,0.0428173357,31DEC2018
185229,20170331,20170501,10220,02MAY2017,-0.000273932,31MAY2017
185229,20170331,20170501,10220,02MAY2017,-0.000273932,30JUN2017
185229,20170331,20170501,10220,02MAY2017,-0.000273932,31JUL2017
185229,20170630,20170807,10220,08AUG2017,0.0042291285,31AUG2017
185229,20170630,20170807,10220,08AUG2017,0.0042291285,29SEP2017
185229,20170630,20170807,10220,08AUG2017,0.0042291285,31OCT2017
185229,20170930,20171106,10220,07NOV2017,-0.002351295,30NOV2017
185229,20170930,20171106,10220,07NOV2017,-0.002351295,29DEC2017
185229,20170930,20171106,10220,07NOV2017,-0.002351295,31JAN2018
185229,20170930,20171106,10220,07NOV2017,-0.002351295,28FEB2018
185229,20171231,20180227,10220,28FEB2018,-0.003228655,29MAR2018
185229,20171231,20180227,10220,28FEB2018,-0.003228655,30APR2018
185229,20180331,20180504,10220,07MAY2018,0.0011673732,31MAY2018
185229,20180331,20180504,10220,07MAY2018,0.0011673732,29JUN2018
185229,20180331,20180504,10220,07MAY2018,0.0011673732,31JUL2018
185229,20180630,20180806,10220,07AUG2018,-0.008761842,31AUG2018
185229,20180630,20180806,10220,07AUG2018,-0.008761842,28SEP2018
185229,20180630,20180806,10220,07AUG2018,-0.008761842,31OCT2018
185229,20180930,20181106,10220,07NOV2018,-0.062485829,30NOV2018
185229,20180930,20181106,10220,07NOV2018,-0.062485829,31DEC2018
017987,20170331,20170425,10232,26APR2017,-0.002600359,28APR2017
017987,20170331,20170425,10232,26APR2017,-0.002600359,31MAY2017
017987,20170331,20170425,10232,26APR2017,-0.002600359,30JUN2017
017987,20170630,20170719,10232,20JUL2017,-0.00236653,31JUL2017
017987,20170630,20170719,10232,20JUL2017,-0.00236653,31AUG2017
017987,20170630,20170719,10232,20JUL2017,-0.00236653,29SEP2017
017987,20170930,20171019,10232,20OCT2017,-0.001109855,31OCT2017
017987,20170930,20171019,10232,20OCT2017,-0.001109855,30NOV2017
017987,20170930,20171019,10232,20OCT2017,-0.001109855,29DEC2017
017987,20171231,20180124,10232,25JAN2018,-0.004973367,31JAN2018
017987,20171231,20180124,10232,25JAN2018,-0.004973367,28FEB2018
017987,20171231,20180124,10232,25JAN2018,-0.004973367,29MAR2018
017987,20180331,20180424,10232,25APR2018,0.0080444122,30APR2018
017987,20180331,20180424,10232,25APR2018,0.0080444122,31MAY2018
017987,20180331,20180424,10232,25APR2018,0.0080444122,29JUN2018
017987,20180630,20180718,10232,19JUL2018,-0.001508206,31JUL2018
017987,20180630,20180718,10232,19JUL2018,-0.001508206,31AUG2018
017987,20180630,20180718,10232,19JUL2018,-0.001508206,28SEP2018
017987,20180930,20181017,10232,18OCT2018,-0.001454625,31OCT2018
017987,20180930,20181017,10232,18OCT2018,-0.001454625,30NOV2018
017987,20180930,20181017,10232,18OCT2018,-0.001454625,31DEC2018
001982,20170331,20170510,10239,11MAY2017,0.0015433834,31MAY2017
001982,20170331,20170510,10239,11MAY2017,0.0015433834,30JUN2017
001982,20170331,20170510,10239,11MAY2017,0.0015433834,31JUL2017
001982,20170630,20170809,10239,10AUG2017,-0.007721183,31AUG2017
001982,20170630,20170809,10239,10AUG2017,-0.007721183,29SEP2017
001982,20170630,20170809,10239,10AUG2017,-0.007721183,31OCT2017
001982,20170930,20171108,10239,09NOV2017,-0.002917128,30NOV2017
001982,20170930,20171108,10239,09NOV2017,-0.002917128,29DEC2017
001982,20170930,20171108,10239,09NOV2017,-0.002917128,31JAN2018
001982,20171231,20180215,10239,16FEB2018,-0.005339893,28FEB2018
001982,20171231,20180215,10239,16FEB2018,-0.005339893,29MAR2018
001982,20171231,20180215,10239,16FEB2018,-0.005339893,30APR2018
001982,20180331,20180509,10239,10MAY2018,-0.009349156,31MAY2018
001982,20180331,20180509,10239,10MAY2018,-0.009349156,29JUN2018
001982,20180331,20180509,10239,10MAY2018,-0.009349156,31JUL2018
001982,20180630,20180808,10239,09AUG2018,0.0021005758,31AUG2018
001982,20180630,20180808,10239,09AUG2018,0.0021005758,28SEP2018
001982,20180630,20180808,10239,09AUG2018,0.0021005758,31OCT2018
001982,20180930,20181107,10239,08NOV2018,-0.009372467,30NOV2018
001982,20180930,20181107,10239,08NOV2018,-0.009372467,31DEC2018
016889,20170331,20170420,10252,21APR2017,0.0077156688,28APR2017
016889,20170331,20170420,10252,21APR2017,0.0077156688,31MAY2017
016889,20170331,20170420,10252,21APR2017,0.0077156688,30JUN2017
016889,20170630,20170720,10252,21JUL2017,0.0165521334,31JUL2017
016889,20170630,20170720,10252,21JUL2017,0.0165521334,31AUG2017
016889,20170630,20170720,10252,21JUL2017,0.0165521334,29SEP2017
016889,20170930,20171019,10252,20OCT2017,-0.006544535,31OCT2017
016889,20170930,20171019,10252,20OCT2017,-0.006544535,30NOV2017
016889,20170930,20171019,10252,20OCT2017,-0.006544535,29DEC2017
016889,20171231,20180118,10252,19JAN2018,-0.002921836,31JAN2018
016889,20171231,20180118,10252,19JAN2018,-0.002921836,28FEB2018
016889,20171231,20180118,10252,19JAN2018,-0.002921836,29MAR2018
016889,20180331,20180419,10252,20APR2018,-0.003495197,30APR2018
016889,20180331,20180419,10252,20APR2018,-0.003495197,31MAY2018
016889,20180331,20180419,10252,20APR2018,-0.003495197,29JUN2018
016889,20180630,20180719,10252,20JUL2018,0.0266333645,31JUL2018
016889,20180630,20180719,10252,20JUL2018,0.0266333645,31AUG2018
016889,20180630,20180719,10252,20JUL2018,0.0266333645,28SEP2018
016889,20180930,20181018,10252,19OCT2018,0.0043996831,31OCT2018
016889,20180930,20181018,10252,19OCT2018,0.0043996831,30NOV2018
016889,20180930,20181018,10252,19OCT2018,0.0043996831,31DEC2018
018290,20170331,20170515,10253,16MAY2017,0.0177040165,31MAY2017
018290,20170331,20170515,10253,16MAY2017,0.0177040165,30JUN2017
018290,20170331,20170515,10253,16MAY2017,0.0177040165,31JUL2017
018290,20170630,20170814,10253,15AUG2017,-0.015914932,31AUG2017
018290,20170630,20170814,10253,15AUG2017,-0.015914932,29SEP2017
018290,20170630,20170814,10253,15AUG2017,-0.015914932,31OCT2017
018290,20170930,20171114,10253,15NOV2017,-0.009886046,30NOV2017
018290,20170930,20171114,10253,15NOV2017,-0.009886046,29DEC2017
018290,20170930,20171114,10253,15NOV2017,-0.009886046,31JAN2018
018290,20170930,20171114,10253,15NOV2017,-0.009886046,28FEB2018
018290,20171231,20180306,10253,07MAR2018,-0.008455296,29MAR2018
