public_date,port_me,_FREQ_,mom12m_Mean,hxz_abr_Mean,hxz_sue_Mean,hxz_re_Mean,bm_Mean,ep_Mean,cfp_Mean,sp_Mean,agr_Mean,ni_Mean,acc_Mean,op_Mean,roe_Mean,seas1a_Mean,adm_Mean,rdm_Mean,me_Mean,svar_Mean,beta_Mean,mom1m_Mean
02-29-1976,9,392,0.2654519525,0.0021484118,0.0039309737,,0.0006952276,0.0000812641,0.0001391614,0.0014980751,0.1168824192,0.0177913428,0.0114703785,-0.017004293,0.039408095,0.0693437996,0.0000282919,,8024729.2524,0.000263296,1.3828143191,0.1249791914
03-31-1976,0,391,0.1540311143,-0.002021381,-0.035791109,,0.0022048258,-0.000185312,-0.000078868,0.0079633568,-0.062061782,-0.008408831,-0.016215854,-1.075243141,-0.011406975,0.088356773,0.0001404694,,1883.5950385,0.002911907,1.0331696602,0.1867277836
03-31-1976,1,391,0.3101085234,0.0079670305,0.07773756,,0.0017947108,-0.000068137,0.0000800121,0.0074301081,-0.048473546,-0.003608083,-0.007251273,-0.51178924,-0.000376125,0.1011378498,0.0001179209,,3917.2539303,0.0024168768,1.0093010744,0.2051115286
03-31-1976,2,391,0.4317895938,0.006897487,0.1313207334,,0.0017319894,0.0000247967,0.0001761225,0.007076901,-0.019762152,-0.005332442,0.0002666185,-0.435160674,0.0139384612,0.1056731725,0.0001055128,,6950.549445,0.0019363966,1.0550866145,0.1607710912
03-31-1976,3,391,0.5105476078,0.0077048142,0.0982928856,,0.0016111611,0.0000488665,0.0001425363,0.0059128124,-0.003203835,-0.002786172,0.0024798755,-0.44713661,0.0224081599,0.1141079903,0.0000898071,,11141.042168,0.0017440916,1.1203253638,0.152012362
03-31-1976,4,391,0.5498226244,0.0067008805,0.0495405808,,0.0014348461,0.000077472,0.0001769973,0.0054216422,0.0165451568,-0.004431811,0.0029835099,-0.171177067,0.0265439767,0.1030128685,0.0000723569,,17757.260879,0.0012443666,1.1829630327,0.1220903545
03-31-1976,5,390,0.5571821614,0.006130178,0.0506078901,,0.0013368622,0.0000846996,0.000172973,0.0046687334,0.0353688297,0.0052144103,0.0048088544,0.1016512238,0.0261447329,0.0981893319,0.0000738795,,29085.107115,0.0010878633,1.4051226996,0.1021009119
03-31-1976,6,391,0.4648601219,0.0042260876,0.0620025888,,0.0012952761,0.0000989784,0.0001807741,0.0037756368,0.0484202098,0.0088649221,0.0046440431,-0.238625689,0.029203907,0.0742333538,0.0000747611,,50863.797077,0.0008291065,1.337662396,0.0884242546
03-31-1976,7,391,0.4976471597,0.0041923863,0.0457710412,,0.0011744225,0.0001139629,0.000181307,0.003269976,0.07684154,0.0170730092,0.0036005641,-0.10718883,0.0320978317,0.0830324317,0.0000586452,,96375.290329,0.000716911,1.3969352448,0.0726013544
03-31-1976,8,391,0.4088045345,0.0022826046,0.0283910994,,0.0010027127,0.0001036477,0.0001750219,0.0024221888,0.0972556055,0.0249806187,0.0055873611,-0.000579621,0.0346924565,0.0576796386,0.0000454702,,252430.80071,0.0004847538,1.295153827,0.0419740215
03-31-1976,9,391,0.3335213865,0.0023030725,0.0198264297,,0.0007089377,0.0000801051,0.0001593513,0.0014747274,0.0977747269,0.0157162555,0.0045641119,0.2651277415,0.0392767843,0.033002739,0.0000275472,,8383698.6764,0.0002623459,1.4066958708,-0.004997051
