public_date,port_svar,_FREQ_,mom12m_Mean,hxz_abr_Mean,hxz_sue_Mean,hxz_re_Mean,bm_Mean,ep_Mean,cfp_Mean,sp_Mean,agr_Mean,ni_Mean,acc_Mean,op_Mean,roe_Mean,seas1a_Mean,adm_Mean,rdm_Mean,me_Mean,svar_Mean,beta_Mean,mom1m_Mean
02-29-1976,9,382,0.2130449803,0.0114256318,0.0222762213,,0.0013961129,-0.000127938,0.0000714189,0.0061831969,-0.058588185,-0.005559727,-0.011133719,-1.467735587,0.0006471032,0.0611441509,0.0001063977,,16653.94176,0.0056045679,1.0829552723,0.3554684856
03-31-1976,0,381,0.2922355435,0.0020453797,0.0160923607,,0.0008128592,0.0000926165,0.0001959646,0.0014047001,0.0831095607,0.0238450128,0.0039167947,0.3766369846,0.037393495,-0.004007175,0.0000317041,,14865557.998,0.0001274005,1.2206461858,-0.001895328
03-31-1976,1,381,0.3273865144,0.0023194692,0.0174067665,,0.0006332136,0.000074191,0.000135064,0.0014282397,0.1107478529,0.0138243866,0.005146923,0.1659497514,0.0410006721,0.0482930383,0.0000255406,,4904733.6574,0.0002417621,1.3887411989,-0.011996473
03-31-1976,2,381,0.4007098907,0.0017032308,0.0167056315,,0.0008368545,0.0000909266,0.0001533145,0.0020427494,0.0973328348,0.013331869,0.0046936193,0.1555271559,0.0357733506,0.0600754192,0.0000358138,,1318969.1895,0.0003718452,1.3530605941,0.009086458
03-31-1976,3,381,0.4109013813,0.0027030968,0.0260251184,,0.0008172177,0.0000910947,0.0001606581,0.0021320114,0.0939510397,0.0148437589,0.0036942119,0.1724145487,0.0376957807,0.0780379451,0.0000340369,,1011272.4741,0.0005077788,1.4058804861,0.0189297974
03-31-1976,4,481,0.4878713823,0.0048966136,0.018350537,,0.0008533129,0.0000890991,0.0001477194,0.0026147349,0.0756237651,0.0198411498,0.0067584658,0.0754397172,0.042505715,0.0684955961,0.0000444019,,518606.90078,0.0006740844,1.7399646822,0.0540027854
03-31-1976,5,380,0.5156507343,0.0020433809,0.0653305763,,0.0011645942,0.0001061746,0.0001840167,0.0027592056,0.0959236682,0.0047295876,0.0038047209,0.185785105,0.0337350914,0.0857938739,0.0000477451,,335766.75716,0.0008864161,2.1049873439,0.0705108479
03-31-1976,6,381,0.5189922496,0.0034461703,0.0594615284,,0.0011146896,0.0000709891,0.0001618817,0.0034900068,0.1103579421,0.0093472025,0.0135676073,0.2173989262,0.0284519296,0.0834193803,0.0000647926,,188694.37596,0.0011723281,1.786941792,0.121199937
03-31-1976,7,381,0.5957722713,0.0112477503,0.2030305312,,0.0014075304,0.000014046,0.0001343781,0.0048282082,0.0214281832,-0.005153085,-0.00251912,-0.108271287,0.0192005262,0.1252462465,0.0000917767,,252842.09448,0.0016237602,1.7508408321,0.1627558595
03-31-1976,8,381,0.6465454492,0.0102971786,0.1646455984,,0.0014453661,0.0000391747,0.0001638684,0.0054241564,0.0038048708,0.0004913543,0.0017457462,0.0008909971,0.0217174695,0.1668236428,0.0000937104,,65453.669989,0.0023854422,1.7769659566,0.1877329434
03-31-1976,9,381,0.5074224474,0.0117492071,0.192199458,,0.0012928892,-0.000082018,0.0000468863,0.0053433154,-0.003433665,0.0124082719,-0.012163819,-0.196084368,0.0066425265,0.1469578708,0.000088394,,25852.610563,0.0049216799,1.5527543984,0.2917962856
04-30-1976,0,381,0.2845945986,-0.000807373,0.0121767017,,0.0007258086,0.0000856548,0.0001750918,0.0012397494,0.0897144919,0.0223630873,0.0060427012,0.3851500347,0.0398632219,0.0346445868,0.000025456,,14714418.988,0.0001144815,1.3125246174,0.0308689724
04-30-1976,1,380,0.2672661989,0.0018798957,0.0205048255,,0.0007280759,0.0000826093,0.0001611888,0.0016401478,0.107887381,0.0144188926,0.0035199391,0.3447869351,0.0404235424,0.062543606,0.0000295862,,4113915.8818,0.0002034596,1.2892319683,0.0386854601
04-30-1976,2,381,0.3139758432,0.002061925,0.0176060685,,0.0008331923,0.0000897231,0.0001465843,0.0019539321,0.09539826,0.0136655125,0.0049885253,0.2584531282,0.039638865,0.0693063783,0.0000315743,,1245633.9219,0.0003077172,1.2532414718,0.0244704953
04-30-1976,3,380,0.3906209309,0.0024080808,0.0324265403,,0.0008637178,0.0000984614,0.0001606906,0.0022941639,0.0916896423,0.0165865217,0.0043752417,0.2305323117,0.0373344286,0.0728240912,0.0000467477,,963492.21961,0.0004197202,1.5751500754,0.0327558328
04-30-1976,4,477,0.3797885224,0.001175367,0.0158731393,,0.0008900279,0.0000987761,0.0001724586,0.0025383017,0.0615317248,0.0186806794,0.0033666057,0.2061629749,0.0435860433,0.060800503,0.0000369035,,819629.03349,0.0005542699,1.8789064692,0.0039160374
04-30-1976,5,380,0.4749849023,0.0017472602,0.0488774091,,0.001140612,0.0000962538,0.0001625,0.0031078971,0.1243589039,0.0140872983,0.0074723187,0.199624469,0.0329177529,0.0994546422,0.0000582341,,313186.02497,0.0007387282,1.6666231422,0.0270677751
04-30-1976,6,380,0.5267948239,0.0046340972,0.1230003467,,0.001267606,0.0000592441,0.0001674023,0.003948053,0.083686038,0.0102082037,0.0015015224,0.2139761111,0.0264234486,0.0500511576,0.000066183,,214091.18435,0.000981995,1.7377661562,0.0429611943
04-30-1976,7,381,0.6082463647,0.0022484613,0.112224772,,0.0012620453,0.0000559082,0.0001745658,0.0042015851,0.0945222471,0.0066873579,0.0133193878,0.1962258929,0.0277266578,0.0452062502,0.0000744691,,168020.70324,0.0013015695,1.9441817741,0.0529276252
04-30-1976,8,380,0.8216460684,0.0102686594,0.1984031263,,0.0012991579,0.0000262341,0.0001326178,0.0045694678,0.0384101572,-0.019307975,0.0023686165,-0.161075386,0.0144084342,0.068361575,0.0000855359,,156769.96841,0.0019408057,1.6293430411,0.0783566912
04-30-1976,9,381,0.5695457912,0.0114015566,0.1615194602,,0.001536137,-0.000014992,0.0001298057,0.0072424117,0.0127488228,0.0134104941,-0.012977732,-0.024945058,0.0183612045,0.0265390927,0.0001173059,,39227.768358,0.004040007,1.6088556154,0.1269480318
05-31-1976,0,380,0.2879187487,-0.000941644,0.0158559641,-0.000044754,0.0007779779,0.0000911647,0.0001853445,0.0013987249,0.0809009636,0.0264430852,0.0050098646,0.3660587368,0.0383060867,0.0490899708,0.0000362842,,16363322.795,0.0001023904,1.2846095596,-0.003177905
05-31-1976,1,380,0.2282610318,0.0001577481,0.0272881702,-0.001690989,0.0006996442,0.0000805501,0.0001640793,0.0014637148,0.1052453408,0.014129888,0.0038350965,0.3732898934,0.0426686224,0.0478509583,0.0000254613,,4437570.0276,0.0001699243,1.3550528436,-0.003723258
05-31-1976,2,380,0.2638241446,0.0023991859,0.0214440166,-0.000034896,0.0008614595,0.0000929757,0.0001541696,0.0019788127,0.1102454891,0.014717576,0.0045502429,0.30141052,0.0363465928,0.0738148326,0.0000310187,,1652353.4143,0.0002396862,1.3678907249,-0.003682095
05-31-1976,3,380,0.3129268707,0.002863583,0.0299447405,0.0028659676,0.00077587,0.000094779,0.0001497659,0.0021022889,0.1124008294,0.0191036367,0.005274007,0.1523482291,0.0416724095,0.0700311239,0.0000410081,,877905.3222,0.00033549,1.4526427739,-0.008594525
05-31-1976,4,469,0.3323545665,0.0011495867,0.0390145927,-0.005737119,0.0009156578,0.0000997729,0.0001525078,0.0023577699,0.0693328965,0.0175359878,0.0053810966,0.2425588863,0.0430185714,0.0893879593,0.0000496179,,606851.24999,0.0004404869,1.9869729004,-0.02580882
