public_date,port_svar,_FREQ_,rank_mom12m_Mean,rank_hxz_abr_Mean,rank_hxz_sue_Mean,rank_hxz_re_Mean,rank_bm_Mean,rank_ep_Mean,rank_cfp_Mean,rank_sp_Mean,rank_agr_Mean,rank_ni_Mean,rank_acc_Mean,rank_op_Mean,rank_roe_Mean,rank_seas1a_Mean,rank_adm_Mean,rank_rdm_Mean,rank_me_Mean,rank_svar_Mean,rank_beta_Mean,rank_mom1m_Mean
02-29-1976,8,383,-0.001318293,0.0634350121,-0.025030237,0,-0.068032321,-0.202843829,-0.13458956,0.0368159496,-0.041082502,-0.026271679,-0.018245241,-0.012171988,-0.06672786,0.0015486937,-0.0036124,0,0.1131346741,0.6843729031,0.0403850151,0.364703845
02-29-1976,9,382,-0.156214118,0.0351158463,0.0604655928,0,0.0289859066,-0.335085992,-0.14661028,0.1998556853,-0.049443528,-0.180288128,-0.039438623,-0.033315507,-0.263570557,-0.061360089,0.0600861994,0,-0.287700203,0.8839685454,-0.014055243,0.3573281377
03-31-1976,0,381,-0.12102885,-0.022243276,-0.083253599,0,-0.410410824,-0.127381468,0.1284070601,-0.554542103,0.1887567214,0.3089353112,0.0119151334,0.2269874004,0.2217784943,-0.406091795,-0.050510414,0,0.9373723515,-0.905125,0.0536300021,-0.478959292
03-31-1976,1,381,-0.06041287,-0.030416575,-0.085359403,0,-0.581203813,-0.303919604,-0.145758372,-0.563452187,0.3018956993,0.3112052454,0.0554681949,0.1555085891,0.3027006411,-0.07541937,-0.209627276,0,0.9322259678,-0.714698164,0.114294478,-0.523070655
03-31-1976,2,381,0.0121602954,-0.062995387,-0.077416735,0,-0.392734191,-0.141799714,-0.063902299,-0.358720608,0.1783140718,0.2412151944,0.0714652529,0.0781378052,0.1440552701,-0.028118005,-0.093676317,0,0.8520089278,-0.505683813,0.0841923945,-0.383250653
03-31-1976,3,381,-0.005328638,0.0006713209,-0.0224092,0,-0.412186165,-0.152373757,-0.039330076,-0.358343855,0.1742856865,0.1741377196,-0.013255432,0.1287057502,0.1810307902,0.038922377,-0.128507333,0,0.7855379811,-0.315591566,0.0872833512,-0.32558284
03-31-1976,4,481,0.0568067348,0.0509975914,-0.073667177,0,-0.341239642,-0.106710066,-0.085102204,-0.286876481,0.1019797301,0.1727481292,0.1022132387,0.1109910215,0.1726303644,-0.007973391,-0.096016131,0,0.6640523933,-0.113609164,0.1960702512,-0.160778846
03-31-1976,5,380,0.1187109281,-0.062692771,0.1042584473,0,-0.066179997,0.035513439,0.0022102918,-0.145290012,0.108922848,0.0830576916,-0.012498579,0.032638275,0.083630845,0.0328272314,-0.081680574,0,0.5762914898,0.0863495534,0.2743771617,-0.116066955
03-31-1976,6,381,0.0563688145,-0.029080562,0.0627525322,0,-0.164438999,-0.110008397,-0.056862528,-0.141640624,0.102127127,-0.006171418,0.0855982282,0.0360105357,0.0236161442,0.0128368946,-0.085541262,0,0.4016448442,0.2878536596,0.1805360335,0.0993734164
03-31-1976,7,381,0.144713204,0.1267248673,0.2033304031,0,0.0805850212,-0.250279805,-0.114728948,0.1156785825,-0.114846366,-0.015860066,-0.150091435,-0.149083288,-0.123378043,0.1359275606,0.0082205903,0,0.3939708606,0.4962999164,0.163298001,0.2221886853
