public_date,port_beta,_FREQ_,rank_mom12m_Mean,rank_hxz_abr_Mean,rank_hxz_sue_Mean,rank_hxz_re_Mean,rank_bm_Mean,rank_ep_Mean,rank_cfp_Mean,rank_sp_Mean,rank_agr_Mean,rank_ni_Mean,rank_acc_Mean,rank_op_Mean,rank_roe_Mean,rank_seas1a_Mean,rank_adm_Mean,rank_rdm_Mean,rank_me_Mean,rank_svar_Mean,rank_beta_Mean,rank_mom1m_Mean
01-31-1976,0,377,-0.267178007,0.0671274076,-0.062075852,0,-0.239283611,-0.14490392,-0.150960792,-0.326615101,0.0047930739,0.2257123432,-0.007161484,0.0646540498,0.1693598148,-0.330427803,-0.134366688,0,0.6784045582,-0.427064628,-0.87280343,0.0348178198
01-31-1976,1,376,-0.324162677,-0.100321931,-0.240167882,0,-0.276028284,-0.046634949,0.0382435749,-0.333192364,0.0304940927,0.2513211591,0.0200080276,0.2187632106,0.1861901427,-0.476510726,-0.06464496,0,0.8007405219,-0.474924772,-0.701214578,0.0510338581
01-31-1976,2,376,-0.196511145,-0.021327945,-0.033699703,0,-0.440230344,-0.126295745,-0.047368415,-0.494504001,0.0866441644,0.2889617773,0.0229908442,0.1876109541,0.2900725101,-0.382827828,-0.060073133,0,0.8367117946,-0.613247457,-0.491006582,0.008773398
01-31-1976,3,376,-0.073868497,0.0487770814,-0.016334433,0,-0.313609499,-0.030309033,-0.000060094,-0.382484778,0.0826074666,0.2865362778,0.0352986019,0.040718594,0.1743747681,-0.260294551,-0.017743051,0,0.8228137468,-0.538491968,-0.30246771,0.0560685036
01-31-1976,4,544,-0.166110761,0.1258674615,-0.174251069,0,-0.439737783,-0.06566549,0.0296500669,-0.395200881,0.0579437963,0.1756823315,0.0105919055,0.2850952849,0.2465092138,-0.40609231,-0.079560558,0,0.8969715287,-0.689431221,-0.083675014,0.1214907382
01-31-1976,5,376,-0.171029831,0.036747039,-0.083809681,0,-0.603911913,-0.298438636,-0.21866599,-0.654448113,0.0148646156,0.3284228644,0.0064813558,0.1185608607,0.2581525561,-0.426230624,-0.140674174,0,0.9286718284,-0.735725425,0.1143453983,0.0407744227
01-31-1976,6,376,-0.119209982,0.0415871954,0.0158571703,0,-0.574093833,-0.241430488,-0.236945825,-0.551146801,0.030129528,0.3012124389,0.0036077935,0.1028622074,0.3780766178,-0.309523243,-0.174834703,0,0.8508488744,-0.499514771,0.3053181532,-0.054688248
01-31-1976,7,376,0.1523344607,0.0131845623,0.0856957124,0,-0.554625358,-0.27098259,-0.114419493,-0.499473693,0.0371982146,0.2296007924,0.0436590851,0.0958914494,0.2412051291,-0.127929362,-0.290009364,0,0.8992208226,-0.606706903,0.5093139272,0.1117581881
01-31-1976,8,376,0.1898526782,-0.075037212,0.0967697442,0,-0.377092528,-0.235305614,-0.234690915,-0.373036212,0.0262888115,0.120369724,0.0235085015,0.0064496232,0.1776252772,-0.116451538,-0.169336219,0,0.7660252712,-0.216681123,0.6977385901,-0.082847342
01-31-1976,9,377,0.4016344356,0.1376195295,0.1734066677,0,-0.420735025,-0.282689039,-0.186524561,-0.370746585,0.1016548731,0.0881397468,-0.00316383,-0.065238961,0.2271361645,0.1380861493,-0.179957506,0,0.6625754682,-0.120231622,0.8782048128,0.0578637245
02-29-1976,0,376,-0.090621729,0.0048356058,-0.088989332,0,-0.301358543,-0.142372802,-0.172547043,-0.234627643,-0.007392375,0.1740005595,-0.007316735,0.0215811107,0.1814146081,0.0298942539,-0.076760542,0,0.5428316698,-0.271454434,-0.884605151,-0.294700392
02-29-1976,1,376,-0.060937601,0.0434110688,-0.173099325,0,-0.149847688,0.0275233703,0.0897630841,-0.224950719,0.0491111955,0.224107141,0.0314814311,0.1579396891,0.187617361,-0.078319438,-0.078488905,0,0.7655823491,-0.485757436,-0.698668619,-0.291089218
02-29-1976,2,375,0.0518110274,-0.053191352,-0.08284683,0,-0.339250293,-0.064202815,0.0560499841,-0.448303234,0.0585044356,0.2470877577,0.0090896949,0.2232121427,0.2317122181,0.0211085679,-0.077054747,0,0.8135596231,-0.626880475,-0.497711053,-0.247185266
02-29-1976,3,375,0.0512746169,-0.101115698,-0.052288303,0,-0.271183664,-0.025220585,-0.016697906,-0.350175749,0.0649663535,0.2613705637,0.0119004743,0.0881144644,0.1704421585,0.0126264012,0.0087548258,0,0.8234716928,-0.60497563,-0.296859099,-0.241176037
02-29-1976,4,538,0.0969689582,-0.062805644,-0.006395077,0,-0.372532829,-0.094691064,-0.063745409,-0.381215945,0.0913962374,0.3397774748,0.0248195995,0.0595230356,0.2566849124,0.1363644397,-0.01595571,0,0.8239128259,-0.560716298,-0.082251872,-0.189610139
02-29-1976,5,376,0.0816742886,-0.014018632,-0.163452696,0,-0.515637871,-0.142842763,-0.053669855,-0.572786022,0.0198970052,0.2585926791,0.0097180143,0.2546406674,0.2730970262,0.2175429711,-0.119680051,0,0.9396885535,-0.785711522,0.1193515943,-0.263257076
02-29-1976,6,375,0.0542261847,-0.061966583,0.0174537486,0,-0.35894555,-0.115186243,-0.05915408,-0.37837275,0.0309286476,0.2568276769,0.000793078,0.0842114594,0.1754962598,0.0416885217,-0.060522892,0,0.8274501585,-0.498152584,0.2938334607,-0.276004465
02-29-1976,7,375,0.2365623958,-0.119586824,0.0951944405,0,-0.571141378,-0.29195336,-0.151688042,-0.518994016,0.0329502891,0.2285610635,0.0198529663,0.1139344441,0.2774172104,0.2229940112,-0.281189863,0,0.9001942534,-0.633742508,0.5053113151,-0.222375876
02-29-1976,8,376,0.2089491107,-0.051052908,-0.018914048,0,-0.4244421,-0.188945738,-0.179155263,-0.406624751,0.0334958585,0.1943014728,0.0501222985,0.0398211643,0.2540075113,0.1267715939,-0.163578037,0,0.8241511324,-0.396807659,0.6771539833,-0.1052906
02-29-1976,9,376,0.3818707553,0.0679841717,0.200846398,0,-0.459388273,-0.29424228,-0.202672818,-0.429455532,0.0813931291,0.0816219369,-0.005535944,-0.089926286,0.2532480623,0.2902468817,-0.202417761,0,0.6910132322,-0.110161896,0.8766652644,0.1544374833
03-31-1976,0,376,-0.205877763,-0.014032338,-0.126402777,0,-0.257171145,-0.205614894,-0.105314078,-0.266285515,0.0121344895,0.1290152511,-0.024405959,-0.039766225,0.1155025591,0.1781580311,-0.071303851,0,0.555141896,-0.288453633,-0.880742558,0.0643509973
03-31-1976,1,375,-0.193788435,0.0226596902,-0.07738002,0,-0.160249002,-0.007043362,0.1031367982,-0.236007083,0.2043006614,0.0475284689,-0.082726761,0.125991795,0.0623809467,-0.113567982,-0.082255503,0,0.7724153369,-0.511314916,-0.691471552,-0.227384282
03-31-1976,2,375,-0.060366593,-0.004851034,-0.075576074,0,-0.327264233,-0.09100686,-0.000536121,-0.437487904,0.3351666261,0.3318467357,0.0771442924,0.1797073855,0.1858020176,-0.0842227,-0.059015849,0,0.8073701423,-0.600852765,-0.496632193,-0.271535381
03-31-1976,3,376,-0.084412744,-0.089776883,-0.10349782,0,-0.287218897,-0.06660825,-0.055759833,-0.381948609,0.1872199421,0.2971210039,0.0115785101,0.06209774,0.0992875541,-0.099194252,-0.009674403,0,0.8230759901,-0.607696298,-0.292224033,-0.424634952
03-31-1976,4,530,0.0233928245,-0.030628511,-0.07086691,0,-0.351142585,-0.124794702,0.0176164038,-0.379757433,0.2281311863,0.2751404948,0.0926327337,0.0406672265,0.2073870954,-0.049606403,-0.060589596,0,0.8302301712,-0.558650303,-0.092093888,-0.411026723
03-31-1976,5,375,-0.132349922,0.0917894097,-0.100331236,0,-0.494829761,-0.180927132,0.0634483692,-0.57287633,0.2583600376,0.3109053709,0.0175024839,0.2624648635,0.2942849682,-0.374376229,-0.102960506,0,0.934918041,-0.789103695,0.1156978642,-0.484137675
03-31-1976,6,376,-0.110137276,-0.161145952,-0.025792511,0,-0.451497418,-0.225933153,-0.11808092,-0.432461847,0.1504030456,0.3667241958,0.0534701367,-0.015364346,0.1294924943,-0.073807634,-0.06189784,0,0.8669188642,-0.555320158,0.2863632565,-0.465073631
03-31-1976,7,375,0.0634258067,-0.12992937,-0.065987828,0,-0.603288925,-0.344239345,-0.125870178,-0.546282576,0.1672915441,0.2140615256,0.0822405637,0.3081585875,0.3187895304,-0.138484557,-0.31254837,0,0.9026933742,-0.627646501,0.5165098193,-0.462660651
03-31-1976,8,375,0.0773916515,-0.025640146,0.0040525232,0,-0.461346197,-0.229644369,-0.095149024,-0.405911123,0.1577507786,0.0987866392,-0.038829846,-0.008321875,0.1661348359,0.01908201,-0.132628199,0,0.821319607,-0.386416161,0.681366168,-0.384493583
03-31-1976,9,376,0.3246961953,0.1234587146,0.2035559612,0,-0.477865818,-0.26393972,-0.140777799,-0.420553968,0.0948088959,0.1398999503,0.0380546502,0.1181902927,0.2093660961,0.1291396778,-0.214650688,0,0.6852489243,-0.14053172,0.8774382262,-0.258389766
04-30-1976,0,375,-0.282969057,-0.060878405,-0.130539867,0,-0.255324193,-0.211214009,-0.099804627,-0.272629543,0.0162290264,0.122022494,-0.01877187,-0.041329253,0.148876785,-0.082866627,-0.073218653,0,0.5544257977,-0.289750269,-0.881917131,-0.219050561
04-30-1976,1,375,-0.246896417,0.0414383832,-0.076238437,0,-0.17919506,-0.037179285,0.0752556803,-0.24872789,0.2028028805,0.0249405589,-0.086287582,0.1565269503,0.0811852768,-0.004111417,-0.080212389,0,0.774472492,-0.498276558,-0.695711729,0.1007517503
04-30-1976,2,375,-0.116286896,0.0086905614,-0.070863114,0,-0.35909376,-0.137117453,-0.046768462,-0.460249704,0.3324324807,0.3357324191,0.0768533859,0.1798280605,0.1835815435,0.1223020522,-0.056109719,0,0.8124083993,-0.594198999,-0.495266191,-0.003422994
04-30-1976,3,375,-0.146253987,-0.064745614,-0.076410354,0,-0.316283407,-0.106862604,-0.041429718,-0.408308343,0.2055092173,0.3179147772,-0.003292075,0.0616945937,0.1298675935,0.1032285363,-0.015371843,0,0.8256610481,-0.620965062,-0.292788839,0.1355624578
04-30-1976,4,526,-0.165388127,0.109647045,-0.086697068,0,-0.395002642,-0.173541006,-0.072119863,-0.410863206,0.2153114135,0.3004498144,0.0886142501,0.0615303237,0.2392526245,0.1004313354,-0.087355287,0,0.843422639,-0.555453323,-0.083482409,0.1034848343
04-30-1976,5,375,-0.157497706,0.0700382483,-0.168592418,0,-0.387401056,-0.101786599,0.0893455033,-0.470949261,0.1625426292,0.1983162199,-0.101169788,0.3289407278,0.1447716251,0.1332167941,-0.105898065,0,0.9187464936,-0.737798807,0.0972890493,0.1510855113
04-30-1976,6,375,-0.249957762,-0.254501069,0.0178654676,0,-0.596243242,-0.335771919,-0.067057484,-0.584897353,0.2634586372,0.4534767464,0.2001055089,0.0407055906,0.3849651957,0.0006410915,-0.05877726,0,0.9048943817,-0.645811779,0.263160705,0.2796886657
04-30-1976,7,375,0.0025843317,-0.011398393,0.0059819086,0,-0.536641633,-0.299038378,-0.018558233,-0.466638527,0.1481775822,0.2401811585,0.1456020862,0.2534323941,0.2493077237,0.2676562999,-0.244792008,0,0.885058717,-0.58969851,0.4976569048,0.283435601
04-30-1976,8,375,-0.135168556,-0.106479869,-0.113359826,0,-0.577097814,-0.334318411,-0.237622993,-0.524234577,0.1910651168,0.0879266361,-0.126329564,0.1260059045,0.3084904815,0.3023878309,-0.250140135,0,0.8599145158,-0.451938156,0.6658265821,0.2762964372
04-30-1976,9,375,0.2037369622,0.056712815,0.2271738277,0,-0.476449841,-0.275429867,-0.152606081,-0.427171945,0.1057021231,0.1202934506,0.0541854374,0.1225461401,0.2163508431,0.3842313249,-0.198639145,0,0.6891952494,-0.10662149,0.8754445925,0.2022895222
05-31-1976,0,375,-0.317552514,-0.076607186,-0.12011808,0,-0.302757069,-0.218732205,-0.118244866,-0.302388721,0.0442750873,0.1155197753,0.0074212977,-0.017188186,0.1656233496,-0.168451348,-0.080037486,0,0.5660628871,-0.30899621,-0.878322822,0.1245233966
05-31-1976,1,374,-0.170954101,0.053885397,-0.04133204,0.0031456865,-0.21928085,-0.057339585,0.0552940485,-0.293825726,0.2040480447,-0.002571832,-0.097399611,0.1781153723,0.0769744052,0.0478538355,-0.085585837,0,0.7674644972,-0.463637139,-0.691023622,0.1825717208
05-31-1976,2,374,-0.160948012,-0.012096771,-0.107803777,-0.010767197,-0.251002904,-0.12935011,0.0038228963,-0.39786639,0.271066092,0.2965755524,0.0272839408,0.0721650615,0.1052161572,-0.04891089,-0.065925016,0,0.7928893426,-0.5393621,-0.497488104,0.1862361986
05-31-1976,3,374,-0.214845536,0.0149207582,-0.09955287,-0.000804776,-0.380821849,-0.106898772,-0.109132133,-0.481645272,0.247956099,0.3377719562,0.0013722787,0.1727268339,0.1881728358,-0.130977214,-0.034612856,0,0.8345903702,-0.605674079,-0.29864456,0.2042206445
05-31-1976,4,521,-0.125846048,0.1492066923,-0.029672457,0.0024486178,-0.356353308,-0.160794795,-0.02622764,-0.329445644,0.1837010346,0.2574604477,0.1126006823,0.0146542109,0.2235214685,-0.073002185,-0.019970427,0,0.8346638798,-0.520539469,-0.085212411,0.0895536715
05-31-1976,5,374,-0.185553017,0.1118359249,-0.189057523,-0.010010486,-0.449445519,-0.173524604,0.0519405846,-0.518306797,0.241467514,0.3749855863,-0.122774849,0.3455486853,0.1856780736,-0.045044164,-0.127462091,0,0.9228776292,-0.67500208,0.1089310986,0.2306021509
05-31-1976,6,374,-0.168600152,-0.27531476,0.0597094568,0.0645954531,-0.595239979,-0.351058083,-0.088540598,-0.582483613,0.2397150181,0.4411424937,0.1873006383,0.0263959413,0.3739958698,0.0455744876,-0.072312847,0,0.9028995336,-0.627784595,0.2734767558,-0.087762576
05-31-1976,7,374,-0.053033229,-0.00390002,-0.003954154,0.001184945,-0.527948377,-0.290228357,-0.011475129,-0.454554675,0.1677556869,0.2356343284,0.1422310636,0.2153257299,0.2577654373,0.1300836301,-0.210684451,0,0.8764202494,-0.533621144,0.5018950637,0.0228136504
05-31-1976,8,374,-0.108201383,-0.088502761,-0.089778079,0.0023223941,-0.570314849,-0.320113753,-0.202503607,-0.510145565,0.1511641692,0.1310041031,-0.06369509,0.1762513186,0.2988826937,0.1256971916,-0.269398576,0,0.8747331883,-0.461970694,0.6587719048,-0.126370282
05-31-1976,9,375,0.0261157408,0.0557497448,0.1946727514,-0.005287225,-0.488598566,-0.279039782,-0.144320639,-0.42477704,0.1595939491,0.0729196153,-0.046374952,0.142737,0.2061935164,0.3295723671,-0.209620505,0,0.7167012104,-0.033353162,0.8747342017,-0.214865448
06-30-1976,0,376,-0.207837974,-0.077010304,-0.14503223,0,-0.270531997,-0.24326705,-0.236764972,-0.282041175,0.1269592066,0.1285686253,0.037742823,-0.089876543,0.135763512,-0.035766618,-0.07236751,0,0.5646666881,-0.329647644,-0.877066421,-0.119370895
06-30-1976,1,375,-0.130892004,0.0534610491,0.0039251157,0.0016129084,-0.239454612,-0.063461268,0.0194301304,-0.30174846,0.1253575544,-0.062675691,-0.036259481,0.1860422165,0.116377817,-0.003652211,-0.084588385,0,0.7684855165,-0.442407995,-0.688955498,0.1946869916
06-30-1976,2,375,-0.077229784,-0.071618471,-0.083388457,-0.011939513,-0.248087424,-0.127427829,0.0094900767,-0.389785763,0.1766330626,0.2109278958,-0.030048522,0.0792182455,0.1379654298,0.0172294532,-0.05509909,0,0.7887406575,-0.515179907,-0.498027328,0.1933334344
06-30-1976,3,376,-0.086113494,0.0283088776,-0.109652242,-0.00077115,-0.390276976,-0.175065248,-0.090683815,-0.486874706,0.1956435784,0.2749752992,-0.020143149,0.1087963066,0.2406082886,0.0548060524,-0.040692643,0,0.8409145208,-0.607726456,-0.299719249,0.2195358269
06-30-1976,4,551,-0.049120281,0.1217985132,-0.003806284,-0.001338424,-0.400429945,-0.200197353,-0.147094431,-0.356496154,0.1827723944,0.180345914,0.0429489991,0.0417814044,0.2225782002,0.1228114267,-0.032319868,0,0.8276619123,-0.487012476,-0.078818587,0.0571346699
06-30-1976,5,375,-0.077087752,0.0323248635,-0.088043688,0.0285289411,-0.434063947,-0.185520498,0.134219996,-0.497391754,0.1405143945,0.2918029747,-0.140569198,0.357084043,0.1995148541,-0.0228931,-0.097448745,0,0.922853065,-0.670009512,0.1011461824,0.1727621127
06-30-1976,6,376,-0.201842708,-0.249054363,0.017380926,0.192424814,-0.617694214,-0.355959006,-0.374062035,-0.594775446,0.2053935804,0.3689335345,0.1876991384,0.0735946661,0.4342461159,-0.105558353,-0.066970285,0,0.9060387632,-0.58815736,0.2751213889,0.1757988367
06-30-1976,7,375,-0.126957041,-0.040823263,0.062623923,-0.001921442,-0.555963703,-0.29414755,-0.125986401,-0.488139821,0.1763881495,0.1570944757,0.1007093156,0.3363225575,0.32968127,-0.106191003,-0.198669368,0,0.8995405626,-0.520026724,0.5167577271,0.0920670359
06-30-1976,8,375,-0.164172669,-0.036817566,-0.001518809,0.0021257073,-0.508754607,-0.304430608,-0.240188826,-0.44131452,0.0789662029,0.1825205951,-0.024581163,0.0356518502,0.2333856741,0.0513767404,-0.189409363,0,0.82869823,-0.377702411,0.6815133381,0.1567431072
06-30-1976,9,376,-0.168587823,0.0498640281,0.0002221117,0.0084777404,-0.525425066,-0.343713348,-0.27095609,-0.459012317,0.1306997261,0.144429357,0.03553133,0.1538567279,0.1629740327,0.020783513,-0.205876262,0,0.7259266127,-0.011287407,0.877813318,0.1624005724
07-31-1976,0,376,-0.222535366,-0.146051074,-0.161471371,0,-0.27225054,-0.251301908,-0.240074521,-0.277695179,0.113369978,0.1334791694,0.0395728637,-0.078370564,0.1028088202,-0.09026966,-0.077227364,0,0.5669072704,-0.280818014,-0.876975553,0.0927856119
07-31-1976,1,375,-0.083535819,-0.026766834,-0.004342088,0.0132538774,-0.235418602,-0.071805867,0.0414404751,-0.285894456,0.112756327,-0.019888604,-0.084537959,0.1746483761,0.1194172801,-0.152696291,-0.080056413,0,0.7780402707,-0.48474225,-0.688343122,0.1433557684
07-31-1976,2,376,-0.044758636,-0.051372631,-0.086800902,-0.012710345,-0.230371414,-0.108182884,0.0276666222,-0.381704669,0.1557415867,0.2498661402,-0.066078811,0.1006343882,0.1269057677,-0.061045863,-0.048988551,0,0.7942647759,-0.482290341,-0.501712061,0.1081873906
07-31-1976,3,375,-0.021294826,0.0049222289,-0.096790611,0,-0.43147476,-0.223227943,-0.142249051,-0.503467639,0.240389993,0.2405838275,0.0429178006,0.0696292389,0.2672602796,-0.058351251,-0.042412254,0,0.8376395386,-0.614193709,-0.31256052,0.2002744906
07-31-1976,4,550,-0.100369944,0.0104082112,-0.039070536,-0.000968924,-0.399637073,-0.192385528,-0.165523331,-0.387832059,0.1636012137,0.1883616062,0.0371055011,0.0462105512,0.1629176407,-0.271087237,-0.062693078,0,0.8260511012,-0.489623374,-0.088702448,0.2846418638
07-31-1976,5,375,-0.027951304,0.0573795585,-0.08125019,0.0168400665,-0.463716359,-0.208215739,0.09729786,-0.497066811,0.1572680774,0.2971312094,-0.134104776,0.3601012734,0.2273406692,-0.153172019,-0.075715928,0,0.9256928561,-0.64411978,0.1034290569,0.1164340633
07-31-1976,6,375,-0.045813508,-0.116135338,-0.023478605,0.0323579821,-0.602312767,-0.374969824,-0.363589447,-0.592646758,0.1931814111,0.3194475353,0.1751646557,0.071969251,0.3506409197,-0.362655663,-0.065915765,0,0.9047574544,-0.597287546,0.2762400784,0.2784648235
07-31-1976,7,376,-0.008291459,0.0730245418,0.1172386135,-0.000313139,-0.491825271,-0.227307635,-0.04931461,-0.403002857,0.1994530032,0.150214537,0.1755472549,0.297791998,0.3748785041,-0.186822818,-0.14719056,0,0.8817966526,-0.493609936,0.5135530485,0.0932841983
07-31-1976,8,375,-0.15915197,-0.208419037,-0.063374139,0.0027970879,-0.59796054,-0.393461507,-0.347262568,-0.549549156,0.1495992851,0.1957686322,-0.048827647,0.1333506995,0.2165810763,-0.333622823,-0.275927491,0,0.8628797042,-0.438703458,0.6754867096,0.1131095573
07-31-1976,9,376,-0.103199511,0.047291482,0.0089976142,-0.013111742,-0.48672781,-0.326046411,-0.228524925,-0.41525883,0.0795935261,0.1001554639,0.0544158512,0.1743631517,0.1413203967,-0.367831074,-0.193514843,0,0.7067941808,-0.038667567,0.8765961269,0.3558948865
08-31-1976,0,376,-0.174891526,-0.059968691,-0.151763339,0,-0.274117565,-0.242220952,-0.23536313,-0.283535664,0.1240693248,0.1459449988,0.0419315936,-0.083969579,0.1151561405,-0.024805866,-0.083603557,0,0.545129258,-0.271112795,-0.879883712,-0.137742578
08-31-1976,1,375,0.0366702659,-0.136776316,-0.031382434,0.0124645085,-0.217786152,-0.0555935,0.0831692408,-0.287760877,0.0962253958,-0.077435774,-0.097598269,0.1996295633,0.1422566311,0.1056481276,-0.080185921,0,0.7698870759,-0.531532162,-0.692133521,0.0140184722
08-31-1976,2,375,0.0513463229,-0.097445154,-0.114180628,-0.008061236,-0.244014298,-0.120049427,-0.022191903,-0.369939718,0.1462375088,0.2664561362,-0.061378031,0.0536093163,0.1059369941,0.2198051138,-0.0465124,0,0.8139222507,-0.505269015,-0.494933284,0.0274865749
08-31-1976,3,374,-0.00898911,0.1468248668,-0.035339054,-0.000925356,-0.451241724,-0.231113592,-0.127652212,-0.499114459,0.252994275,0.249850102,0.0557022007,0.1016114986,0.2728395499,0.2046123329,-0.039240682,0,0.8231915728,-0.612551577,-0.318413245,0.0701269189
08-31-1976,4,552,0.087655173,0.0011547724,-0.034801199,-0.001350225,-0.417266291,-0.198237343,-0.174709063,-0.403898806,0.1682015294,0.1736629914,0.0350519761,0.0498091876,0.172165606,0.296846709,-0.069645835,0,0.8301474707,-0.512280103,-0.094950877,0.044233782
08-31-1976,5,375,0.082443192,0.0414150912,-0.069975474,0.0198264618,-0.417179997,-0.212461746,0.1069595568,-0.497727676,0.1431878599,0.3177332541,-0.140047393,0.3744720254,0.2367243791,0.3297943007,-0.079077683,0,0.9245017171,-0.654066033,0.1122435728,0.0723412685
08-31-1976,6,375,0.0906981373,-0.012989769,-0.058062814,0.0955926357,-0.635710138,-0.406326717,-0.403932781,-0.623524003,0.2055131889,0.3240573907,0.1719435102,0.0720192657,0.3534750906,0.3168804354,-0.076563351,0,0.9082360675,-0.618403821,0.2871304957,-0.075496552
08-31-1976,7,374,0.083364405,0.0254534736,0.099788109,0,-0.502657197,-0.25117327,-0.065033726,-0.417213253,0.1582299599,0.1376408498,0.1603975439,0.2840248302,0.3645702563,0.2376022275,-0.138769348,0,0.8884291907,-0.477678742,0.5224232882,-0.045074667
08-31-1976,8,376,0.0072974518,-0.064918986,-0.031144372,-0.001019011,-0.592511588,-0.394162092,-0.337372361,-0.547607367,0.177082897,0.1826856949,-0.041294116,0.135200343,0.2113580479,0.2036311229,-0.288254754,0,0.861228741,-0.427107481,0.6811102717,-0.059007646
08-31-1976,9,375,0.1018898726,0.0218927803,-0.000526092,-0.015842824,-0.473382187,-0.315596972,-0.210111756,-0.400816048,0.0680998647,0.0992770111,0.0469724785,0.1769143793,0.1210230264,0.0043363772,-0.189732,0,0.707722375,-0.087463218,0.8791290362,0.0246402491
09-30-1976,0,375,-0.206508669,-0.083007063,-0.142431474,0,-0.293440565,-0.247738196,-0.299401204,-0.302151702,0.0656572491,0.1154182327,-0.00625288,-0.036206856,0.1085835387,0.0230208075,-0.090300491,0,0.5500682901,-0.238369704,-0.879724357,-0.175487106
