public_date,port_me,_FREQ_,rank_mom12m_Mean,rank_hxz_abr_Mean,rank_hxz_sue_Mean,rank_hxz_re_Mean,rank_bm_Mean,rank_ep_Mean,rank_cfp_Mean,rank_sp_Mean,rank_agr_Mean,rank_ni_Mean,rank_acc_Mean,rank_op_Mean,rank_roe_Mean,rank_seas1a_Mean,rank_adm_Mean,rank_rdm_Mean,rank_me_Mean,rank_svar_Mean,rank_beta_Mean,rank_mom1m_Mean
02-29-1976,8,392,0.0893408506,-0.031744836,-0.01422551,0,-0.220289992,0.0398371886,0.0149587324,-0.287855613,0.0565605749,0.1590535554,0.001915119,0.0666896656,0.164086737,0.05915886,-0.065887236,0,0.7170481734,-0.373904241,0.0304628622,-0.125617399
02-29-1976,9,392,0.1197904327,-0.056011063,-0.060514367,0,-0.511870788,-0.195089218,-0.094447579,-0.53474307,0.0465246833,0.2921883645,0.0194278763,0.1701817079,0.2826016319,0.164459346,-0.136292235,0,0.954789896,-0.701409938,0.1113070027,-0.270507502
03-31-1976,0,391,-0.247040803,-0.04095528,-0.017559939,0,0.0932622485,-0.083032652,-0.05886281,0.0852152884,-0.035927176,-0.043671769,-0.030734475,-0.038968225,-0.092797177,-0.059746246,0.0971098072,0,-0.879103697,0.3544977146,-0.049112147,0.1069341642
03-31-1976,1,391,-0.142629049,0.0117793959,0.0181794947,0,0.1205284958,-0.080596726,-0.028920839,0.1349065047,-0.080300472,-0.104656031,-0.042502714,-0.02127704,-0.101561942,0.0053176475,0.0266374437,0,-0.689871744,0.3341348499,-0.05594323,0.2111385779
03-31-1976,2,391,-0.010613386,-0.002621183,0.0657172166,0,0.1555025952,-0.021560201,0.0161034681,0.1910595337,-0.086213926,-0.141890591,-0.028656584,-0.028146955,-0.089015504,0.025237351,0.0526540704,0,-0.491283226,0.27545066,-0.06445829,0.1361920824
03-31-1976,3,391,0.0467401659,0.0313067446,0.0417030816,0,0.1272066265,0.0100784358,0.00341557,0.1603099155,-0.076846635,-0.128305885,-0.007375193,-0.046000785,-0.047601245,0.0751759727,0.0185397911,0,-0.292458666,0.2219827299,-0.040418174,0.1622189266
03-31-1976,4,391,0.0952682227,0.0288480268,0.0071398053,0,0.0812126163,0.0447483416,0.0200659889,0.1436604697,-0.059625608,-0.109234434,0.0090532038,-0.017697699,-0.000179003,0.0546386609,0.0007194598,0,-0.091891675,0.0940075113,-0.001355622,0.0723637928
03-31-1976,5,390,0.1237378247,0.0271021841,0.0152716205,0,0.0392210107,0.040071,0.0181607899,0.1116538205,-0.04535858,-0.057147006,0.0127403854,-0.006897749,-0.016062529,0.0346133921,-0.002303851,0,0.1087737082,0.0173510868,0.0654569134,0.0236497659
03-31-1976,6,391,0.0218733438,0.0091330677,-0.001837611,0,0.0230974674,0.0680911407,0.0200757686,-0.019542484,-0.012041095,0.0062761354,0.0218425912,0.0045658923,0.0050292561,-0.013439613,-0.046241965,0,0.3091963847,-0.138457845,0.0289516759,-0.022429406
03-31-1976,7,391,0.0818757795,0.0164831618,-0.042814561,0,-0.058761277,0.103642155,0.0276412231,-0.108207015,0.0494295863,0.0533871991,-0.004299831,0.0304910641,0.0599960892,0.0212613887,-0.028271863,0,0.5119522007,-0.212519554,0.0553657879,-0.088584228
03-31-1976,8,391,0.0135678182,-0.041607902,-0.050724221,0,-0.239525922,0.0264959975,0.0081904521,-0.307368346,0.1729848856,0.2278328863,0.0512568901,0.0602559353,0.1178393201,-0.073761381,-0.057359288,0,0.7172942525,-0.415513709,0.0410069915,-0.225346582
