date,0,1,2,3,4,5,6,7,8,9
1976-01-31,0.127832839,0.0085400178,0.0264747689,0.007839568199999999,0.024601843300000002,-0.158257726,0.0786193607,0.0049862964000000004,0.0712668617,0.10611524619999999
1976-02-29,-0.364733818,-0.295421513,-0.160227356,-0.023541022999999998,0.050763017300000005,0.087026083,0.17922158940000002,0.2775697975,0.364703845,0.35732813770000005
1976-03-31,-0.47895929200000004,-0.523070655,-0.383250653,-0.32558284,-0.160778846,-0.116066955,0.09937341640000001,0.22218868530000002,0.2802964539,0.4626183977
1976-04-30,0.2074357068,0.21953644239999998,0.1191346691,0.1395116964,-0.009391196,0.0695184443,0.15912104359999998,0.1427635324,0.1842113681,0.2842005561
1976-05-31,0.1297462017,0.1069385999,0.0955189128,0.0174300047,-0.09487800199999999,-0.136125885,-0.11512977099999999,-0.119045811,0.0253009259,-0.167845413
1976-06-30,0.13757988880000002,0.232993518,0.0598320247,0.1582352908,0.1098074906,0.14151180900000002,0.19124346120000002,0.1063605525,0.0339304405,-0.136839367
1976-07-31,0.2169035652,0.0666756609,0.1597007555,0.2219147954,0.3057620633,0.319117241,0.2342293139,0.2300988372,0.1132434386,0.0468086843
1976-08-31,0.1019362092,-0.067756833,0.0214440903,-0.022643221,-0.074089159,-0.128362604,0.0246623194,-0.012982076,-0.000350182,-0.002251401
1976-09-30,0.355819841,0.20480425940000002,0.1924297748,0.070145655,0.0011717458,0.005645847,-0.07907940299999999,-0.229904353,-0.243171577,-0.058947868
1976-10-31,0.1731900334,0.165271586,0.1733470568,-0.120808085,0.0902998951,0.0977452807,0.21166960010000002,0.1517750917,0.1570882292,0.09705969029999999
1976-11-30,0.2094549195,0.1258331338,0.027790656,-0.005271206,-0.099208967,-0.03701984,-0.17308629,-0.087845787,-0.162154618,0.06877737099999999
1976-12-31,-0.051740932,-0.096690445,-0.229831795,-0.005849094,0.0547652937,0.0385674796,0.0441247792,0.07077509059999999,0.206273027,0.0150241752
1977-01-31,-0.252051817,-0.20344324800000002,-0.145820841,-0.019642217,0.022983290400000002,0.0569314999,0.042070917,0.20586693120000002,0.1533180225,0.2974902645
1977-02-28,-0.278832187,-0.40748621399999996,-0.522633627,-0.298453378,-0.30723335399999996,-0.11190608099999999,0.0297774382,0.1822255811,0.1826500109,0.32758136530000004
1977-03-31,0.0403946328,-0.015838827,-0.059850661,-0.035677435,-0.202714507,-0.17945418300000002,-0.098152628,-0.099816056,-0.005293704000000001,0.1973134192
1977-04-30,-0.060380538,-0.142707044,-0.044490840999999996,-0.029159999,-0.196528253,-0.031564808,-0.099106826,0.0713447539,0.159639158,0.1669543839
1977-05-31,-0.041370205,0.1045285208,-0.00767747,-0.019351177,-0.17488029800000002,0.058585132699999994,-0.027932772,-0.026024002999999997,0.0317139632,0.1020120781
1977-06-30,0.08819529220000001,-0.032935297999999995,-0.094062328,-0.040599767,-0.19815626600000003,-0.047539517999999996,0.0140897755,0.1505626406,-0.081131639,0.17548570000000002
1977-07-31,-0.094464984,0.0556727467,0.06699511309999999,0.1274913936,0.2081766489,0.1834560779,0.2624536038,0.3457602952,0.2537242612,0.22756450609999998
1977-08-31,0.0627072604,-0.092495385,-0.179108927,-0.09545937800000001,-0.215701251,-0.244669523,-0.07112260200000001,-0.037361839,0.0036632724,0.0176567384
1977-09-30,0.0666630129,-0.040161596,0.0605844718,-0.076112117,0.010916826200000002,0.047356005199999995,-0.023567103,-0.002251879,0.2130091723,0.12414556970000001
1977-10-31,0.0505802032,0.046417489900000004,-0.026440092000000002,-0.076144962,-0.117227561,-0.054183174,0.0007530260000000001,0.041781040299999996,0.1192541226,0.1284317479
1977-11-30,0.0166900446,-0.00944578,-0.12962607,-0.194041677,-0.146103542,-0.041766929,-0.18938986,-0.09715226,0.0805090164,0.0198878218
1977-12-31,-0.33912392399999997,-0.128301331,-0.105676331,-0.049511449000000006,0.0282422283,0.276092518,0.20039027469999998,0.35730364579999996,0.2304954492,0.3403134154
1978-01-31,0.07517987059999999,-0.041206324,-0.080959245,-0.08343954099999999,0.0204159007,0.1070208066,0.1083533715,-0.056795255999999995,0.0081225247,0.2887954501
1978-02-28,-0.123340705,-0.277684592,-0.36724433100000003,-0.401584678,-0.245021137,-0.24030888399999997,-0.108606374,0.044811959000000005,0.1501356727,0.2778170445
1978-03-31,-0.123065301,-0.30413001300000003,-0.284673754,-0.222577017,-0.255167711,-0.10817989199999999,0.0093425652,0.0378085572,0.1230240323,0.0138891616
1978-04-30,-0.309683253,-0.178086771,-0.098757734,-0.122241025,0.0670044441,-0.127600035,0.1053078995,0.1905945503,0.3421804912,0.1590071371
1978-05-31,-0.306463998,0.2085163213,0.21304868600000001,0.3278550116,0.3432276176,0.2186898271,0.2607416599,0.0722101117,0.152030038,0.1089004355
1978-06-30,-0.44178036200000004,-0.35624807,-0.146195722,-0.117199778,0.0206838484,-0.012434396,0.16797504670000002,0.2842610424,0.2945000529,0.2872266508
1978-07-31,-0.065824925,-0.050622845,-0.042821740999999997,-0.160758237,-0.04605461,-0.033830472,0.1493463971,-0.006736769,0.11139120470000001,0.38592396700000003
1978-08-31,-0.072045414,0.10781392320000001,0.18006814989999997,0.1710004628,0.3244912853,0.2851004102,0.26280027429999997,0.31799247070000003,0.1827775516,0.060681855199999996
1978-09-30,-0.31060773199999997,-0.21155610000000002,-0.141959929,-0.147029761,-0.066884282,-0.024676265,0.20487430129999998,0.1903763776,0.4067731957,0.36837761119999995
